reassignment_count,made_sla,sys_created_by,contact_type,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,resolved_by,duration_hours,opened_year,opened_month,opened_day,opened_weekday,opened_hour,sys_created_hour,sys_updated_year,sys_updated_month,sys_updated_day,sys_updated_weekday,sys_updated_hour,resolved_year,resolved_day,resolved_weekday,resolved_hour,closed_month,closed_weekday,closed_hour
0,1,151,3,1,1,2,43,30,1,0,0,51,130.73333333333332,0,2,29,0,1,1,0,3,5,5,12,0,29,0,11,3,5,12
1,1,58,3,1,1,2,13,209,1,0,0,196,149.33333333333334,0,2,29,0,4,4,0,3,6,6,10,0,1,1,9,3,6,10
0,1,185,3,1,1,2,59,185,1,0,0,166,140.83333333333334,0,2,29,0,6,6,0,3,6,6,3,0,1,1,2,3,6,3
0,1,170,3,1,1,2,14,26,1,0,0,15,174.36666666666667,0,2,29,0,6,6,0,3,7,0,13,0,2,2,12,3,0,13
1,0,170,3,0,1,1,12,30,1,0,0,179,129.03333333333333,0,2,29,0,6,7,0,3,5,5,16,0,29,0,15,3,5,16
1,1,170,3,1,1,2,12,30,1,0,0,179,129.86666666666667,0,2,29,0,7,7,0,3,5,5,17,0,29,0,16,3,5,17
1,1,154,3,1,1,2,17,200,1,0,0,187,201.83333333333334,0,2,29,0,7,7,0,3,8,1,17,0,3,3,16,3,1,17
6,1,154,3,1,1,2,23,115,1,0,0,102,176.36666666666667,0,2,29,0,7,7,0,3,7,0,16,0,2,2,15,3,0,16
1,1,23,3,1,1,2,41,30,1,0,0,114,174.95,0,2,29,0,8,8,0,3,7,0,15,0,2,2,14,3,0,15
1,1,170,3,1,1,2,17,135,1,0,0,122,171.95,0,2,29,0,8,8,0,3,7,0,12,0,2,2,11,3,0,12
1,0,154,3,1,1,2,18,157,1,0,0,145,586.4833333333333,0,2,29,0,8,8,0,3,24,3,18,0,8,1,9,3,3,18
0,1,170,3,1,1,2,13,147,1,0,0,134,146.8,0,2,29,0,8,8,0,3,6,6,11,0,1,1,10,3,6,11
1,1,85,3,1,1,2,41,30,1,0,0,114,151.63333333333333,0,2,29,0,8,8,0,3,6,6,16,0,1,1,15,3,6,16
0,0,185,3,1,1,2,54,92,1,1,0,61,1134.7333333333333,0,2,29,0,8,8,0,4,16,5,15,0,11,0,14,4,5,15
0,1,170,3,1,1,2,12,30,1,0,0,179,128.58333333333334,0,2,29,0,8,8,0,3,5,5,17,0,29,0,16,3,5,17
0,1,185,3,1,1,2,59,30,1,0,0,200,121.55,0,2,29,0,8,8,0,3,5,5,10,0,29,0,9,3,5,10
1,1,185,3,1,1,2,53,79,1,0,0,67,123.46666666666667,0,2,29,0,8,8,0,3,5,5,12,0,29,0,11,3,5,12
0,1,185,3,1,1,2,59,30,1,0,0,52,171.45,0,2,29,0,8,8,0,3,7,0,12,0,2,2,11,3,0,12
1,1,154,3,2,2,3,12,30,1,0,0,179,128.35,0,2,29,0,8,8,0,3,5,5,17,0,29,0,16,3,5,17
0,0,185,3,2,2,3,54,73,1,1,0,61,1158.4666666666667,0,2,29,0,8,8,0,4,17,6,15,0,12,1,14,4,6,15
0,1,170,3,1,1,2,41,30,1,0,0,114,174.31666666666666,0,2,29,0,8,8,0,3,7,0,15,0,2,2,14,3,0,15
1,1,23,3,1,1,2,12,30,1,0,0,179,151.28333333333333,0,2,29,0,8,8,0,3,6,6,16,0,1,1,15,3,6,16
0,1,170,3,1,1,2,41,30,1,0,0,114,174.21666666666667,0,2,29,0,8,8,0,3,7,0,15,0,2,2,14,3,0,15
0,1,185,3,1,1,2,59,30,1,0,0,200,121.2,0,2,29,0,8,8,0,3,5,5,10,0,29,0,9,3,5,10
3,1,170,3,1,2,3,23,115,1,0,0,102,198.15,0,2,29,0,8,9,0,3,8,1,15,0,3,3,14,3,1,15
1,0,185,3,1,1,2,61,30,1,0,0,215,288.0833333333333,0,2,29,0,8,8,0,3,12,5,9,0,7,0,8,3,5,9
0,1,185,3,1,1,2,59,30,1,0,0,181,121.06666666666666,0,2,29,0,8,8,0,3,5,5,10,0,5,5,10,3,5,10
0,0,185,3,2,2,3,54,92,1,0,0,89,585.8666666666667,0,2,29,0,8,8,0,3,24,3,18,0,10,3,10,3,3,18
1,1,23,3,1,1,2,41,30,1,0,0,114,173.96666666666667,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
1,1,170,3,1,1,2,20,100,1,0,0,88,144.95,0,2,29,0,9,9,0,3,6,6,10,0,1,1,9,3,6,10
0,1,85,3,1,1,2,41,30,1,0,0,114,173.91666666666666,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
0,1,170,3,1,2,3,53,79,1,0,0,67,122.91666666666667,0,2,29,0,9,9,0,3,5,5,12,0,29,0,11,3,5,12
4,0,154,3,1,1,2,12,157,1,0,0,145,585.8833333333333,0,2,29,0,9,9,0,3,24,3,18,0,17,3,16,3,3,18
0,1,170,3,1,1,2,41,30,1,0,0,114,173.88333333333333,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
1,0,170,3,0,1,1,20,100,1,1,0,88,146.86666666666667,0,2,29,0,9,9,0,3,6,6,12,0,1,1,11,3,6,12
1,1,170,3,1,1,2,42,30,1,0,0,191,122.83333333333333,0,2,29,0,9,9,0,3,5,5,12,0,29,0,11,3,5,12
0,1,85,3,1,1,2,41,30,1,0,0,114,173.78333333333333,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
0,1,170,3,1,1,2,41,30,1,0,0,114,173.76666666666668,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
2,1,154,3,1,1,2,12,114,1,0,0,101,174.75,0,2,29,0,9,9,0,3,7,0,16,0,2,2,15,3,0,16
0,1,23,3,1,1,2,14,125,1,0,0,112,178.7,0,2,29,0,9,9,0,3,7,0,20,0,2,2,19,3,0,20
1,1,185,3,1,1,2,59,30,1,0,0,78,184.7,0,2,29,0,9,9,0,3,8,1,2,0,3,3,1,3,1,2
2,1,154,3,1,1,2,13,209,1,0,0,196,143.66666666666666,0,2,29,0,9,9,0,3,6,6,9,0,1,1,8,3,6,9
1,1,170,3,1,1,2,34,30,1,0,0,7,147.66666666666666,0,2,29,0,9,9,0,3,6,6,13,0,1,1,12,3,6,13
0,1,170,3,1,1,2,13,209,1,0,0,196,144.63333333333333,0,2,29,0,9,9,0,3,6,6,10,0,1,1,9,3,6,10
0,1,85,3,1,1,2,12,30,1,0,0,179,127.58333333333333,0,2,29,0,9,9,0,3,5,5,17,0,29,0,16,3,5,17
1,1,23,3,1,1,2,11,30,1,0,0,42,151.55,0,2,29,0,9,9,0,3,6,6,17,0,1,1,16,3,6,17
0,1,170,3,1,1,2,41,30,1,0,0,114,173.51666666666668,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
0,1,85,3,1,1,2,23,57,1,0,0,46,122.5,0,2,29,0,9,9,0,3,5,5,12,0,29,0,11,3,5,12
1,1,154,3,1,1,2,16,69,1,1,0,56,143.48333333333332,0,2,29,0,9,9,0,3,6,6,9,0,1,1,8,3,6,9
0,1,170,3,1,1,2,41,30,1,0,0,114,173.48333333333332,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
2,0,154,3,1,1,2,28,219,1,0,0,204,585.2333333333333,0,2,29,0,9,9,0,3,24,3,18,0,11,4,12,3,3,18
2,0,170,3,1,1,2,13,152,1,1,0,139,652.3166666666667,0,2,29,0,9,9,0,3,27,6,13,0,22,1,13,3,6,13
1,1,170,3,1,1,2,62,96,1,0,0,85,193.31666666666666,0,2,29,0,9,7,0,3,8,1,11,0,3,3,10,3,1,11
0,1,154,3,1,1,2,54,73,1,0,0,89,192.31666666666666,0,2,29,0,9,7,0,3,8,1,10,0,3,3,9,3,1,10
2,1,154,3,1,1,2,12,35,1,0,0,23,198.3,0,2,29,0,9,9,0,3,8,1,16,0,3,3,15,3,1,16
1,1,154,3,2,2,3,62,96,1,0,0,85,191.26666666666668,0,2,29,0,9,7,0,3,8,1,9,0,3,3,8,3,1,9
0,1,154,3,1,1,2,59,115,1,0,0,147,127.25,0,2,29,0,9,7,0,3,5,5,17,0,29,0,16,3,5,17
0,1,23,3,1,1,2,59,30,1,0,0,52,122.2,0,2,29,0,9,8,0,3,5,5,12,0,29,0,11,3,5,12
1,1,154,3,1,1,2,41,30,1,0,0,114,144.16666666666666,0,2,29,0,9,10,0,3,6,6,10,0,1,1,9,3,6,10
1,1,170,3,1,1,2,14,26,1,0,0,15,194.15,0,2,29,0,9,9,0,3,8,1,12,0,3,3,11,3,1,12
0,1,85,3,1,1,2,41,30,1,0,0,114,173.13333333333333,0,2,29,0,9,9,0,3,7,0,15,0,2,2,14,3,0,15
0,1,23,3,1,1,2,41,30,1,0,0,114,173.05,0,2,29,0,9,10,0,3,7,0,15,0,2,2,14,3,0,15
1,0,85,3,1,1,2,14,26,1,0,0,15,456.0,0,2,29,0,10,10,0,3,19,5,10,0,14,0,9,3,5,10
0,1,101,3,1,1,2,41,30,1,0,0,114,174.0,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
0,1,124,3,1,1,2,41,30,1,0,0,114,173.98333333333332,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
0,1,170,3,1,1,2,20,100,1,1,0,88,191.86666666666667,0,2,29,0,10,10,0,3,8,1,10,0,3,3,9,3,1,10
0,1,23,3,1,1,2,41,30,1,0,0,114,172.83333333333334,0,2,29,0,10,10,0,3,7,0,15,0,2,2,14,3,0,15
0,1,170,3,1,1,2,41,30,1,0,0,114,173.8,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
0,1,101,3,1,1,2,41,30,1,0,0,114,173.76666666666668,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
0,1,22,3,1,1,2,41,30,1,0,0,114,173.71666666666667,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
1,1,170,3,1,1,2,17,30,1,0,0,122,168.71666666666667,0,2,29,0,10,10,0,3,7,0,11,0,2,2,10,3,0,11
0,1,185,3,1,1,2,59,73,1,0,0,116,120.7,0,2,29,0,10,10,0,3,5,5,11,0,5,5,11,3,5,11
2,0,170,3,2,2,3,18,157,1,0,0,145,584.3666666666667,0,2,29,0,10,10,0,3,24,3,18,0,8,1,9,3,3,18
2,1,23,3,1,1,2,59,30,1,0,0,79,196.7,0,2,29,0,10,8,0,3,8,1,15,0,3,3,14,3,1,15
0,1,101,3,1,1,2,16,69,1,1,0,56,126.6,0,2,29,0,10,10,0,3,5,5,17,0,29,0,16,3,5,17
0,1,185,3,1,1,2,59,68,1,0,0,52,121.55,0,2,29,0,10,10,0,3,5,5,12,0,29,0,11,3,5,12
0,1,154,3,1,1,2,13,209,1,0,0,196,143.55,0,2,29,0,10,10,0,3,6,6,10,0,1,1,9,3,6,10
0,1,124,3,1,1,2,41,30,1,0,0,114,173.5,0,2,29,0,10,10,0,3,7,0,16,0,2,2,15,3,0,16
4,0,185,3,0,1,1,59,47,1,0,0,36,584.4333333333333,0,2,29,0,10,10,0,3,24,3,18,0,18,4,13,3,3,18
1,1,170,3,1,1,2,9,87,1,0,0,76,128.4,0,2,29,0,10,10,0,3,5,5,19,0,29,0,18,3,5,19
1,0,84,3,2,1,3,53,165,1,1,0,144,1132.5166666666667,0,2,29,0,10,10,0,4,16,5,15,0,11,0,14,4,5,15
